no,nama,alamat,ketua,jenis_usaha,no_register,anggota,wilker
1,Ngudi Raharjo,Desa Wajak Kidul Kelurahan Boyolangu Kabupaten Tulungagung,Sugiono,Hutan Rakyat,35/04/02.2001/KTH/001/1983,77,2
2,Jati Mulyo,Desa Wajak Kidul Kelurahan Boyolangu Kabupaten Tulungagung,Ragil Santoso,Hutan Rakyat,35/04/02.2001/KTH/002/2004,35,2
3,Ngudi Rahayu,Desa Sanggrahan Kelurahan Boyolangu Kabupaten Tulungagung,M. Jaenuri,Hutan Rakyat,35/04/02.2002/KTH/003/1978,66,2
4,Ngudi Santoso,Desa Sanggrahan Kelurahan Boyolangu Kabupaten Tulungagung,Jamari,Hutan Rakyat,35/04/02.2002/KTH/004/2004,76,2
5,Wono Asri,Desa Pucungkidul Kelurahan Boyolangu Kabupaten Tulungagung,Imam Nafi'i,Hutan Rakyat,35/04/02.2003/KTH/005/2004,105,2
6,Sri Gading,Desa Bolorejo Kelurahan Kauman Kabupaten Tulungagung,Didin S,Hutan Rakyat,35/04/05.2001/KTH/006/2008,90,2
7,Tani Mulyo,Desa Karanganom Kelurahan Kauman Kabupaten Tulungagung,Yusuf,Kebun Bibit Rakyat & Hutan Rakyat,35/04/05.2009/KTH/007/2003,91,2
8,Harapan Maju,Desa Pucangan Kelurahan Kauman Kabupaten Tulungagung,Suratman,Hutan Rakyat,35/04/05.2010/KTH/008/2004,79,2
9,Sumber Lestari,Desa Kates Kelurahan Kauman Kabupaten Tulungagung,Sutikno,Hutan Rakyat,35/04/05.2011/KTH/009/2016,82,2
10,Kwt Kebonduren,Desa Kates Kelurahan Kauman Kabupaten Tulungagung,Eni Isnawati,Hutan Rakyat & Koperasi,35/04/05.2011/KTH/010/2010,23,2
11,Rukun Makmur,Desa Banaran Kelurahan Kauman Kabupaten Tulungagung,Mujalal,Hutan Rakyat,35/04/05.2012/KTH/011/2005,54,2
12,Tani Mulya,Desa Wonorejo Kelurahan Pagerwojo Kabupaten Tulungagung,Sukardi,Hutan Rakyat,35/04/06.2001/KTH/012/2005,39,2
13,Tani Mulya II,Desa Wonorejo Kelurahan Pagerwojo Kabupaten Tulungagung,Kabul Tri,Hutan Rakyat,35/04/06.2001/KTH/013/2005,34,2
14,Bambu Rinenggo,Desa Wonorejo Kelurahan Pagerwojo Kabupaten Tulungagung,Sukardi,"HR, HHBK Bambu",35/04/06.2001/KTH/014/2010,145,2
15,Mugi Mulyo I,Desa Kedungcangkring Kelurahan Pagerwojo Kabupaten Tulungagung,Mugiyat,Hutan Rakyat,35/04/06.2002/KTH/015/2007,32,2
16,Mugi Mulyo II,Desa Kedungcangkring Kelurahan Pagerwojo Kabupaten Tulungagung,Muhtar,Hutan Rakyat,35/04/06.2002/KTH/016/2007,39,2
17,Argo Makmur Jati II,Desa Kedungcangkring Kelurahan Pagerwojo Kabupaten Tulungagung,Mulyadi,Hutan Rakyat,35/04/06.2002/KTH/017/2010,41,2
18,Ngudi Makmur I,Desa Mulyosari Kelurahan Pagerwojo Kabupaten Tulungagung,Sanab,Hutan Rakyat,35/04/06.2003/KTH/018/2005,35,2
19,Ngudi Makmur II,Desa Mulyosari Kelurahan Pagerwojo Kabupaten Tulungagung,Sarengat,"Hutan Rakyat, Agroforestry",35/04/06.2003/KTH/019/2005,47,2
20,Kup Tunas Muda,Desa Mulyosari Kelurahan Pagerwojo Kabupaten Tulungagung,Slamet,"Hutan Rakyat, Porang , Anggrek",35/04/06.2003/KTH/020/2006,35,2
21,Ngudi Makmur,Desa Segawe Kelurahan Pagerwojo Kabupaten Tulungagung,Edi Santoso,Hutan Rakyat,35/04/06.2004/KTH/021/2005,41,2
22,Wana Lestari,Desa Segawe Kelurahan Pagerwojo Kabupaten Tulungagung,Wasis,Hutan Rakyat,35/04/06.2004/KTH/022/2007,38,2
23,Sari Karya,Desa Samar Kelurahan Pagerwojo Kabupaten Tulungagung,Sumaji,Hutan Rakyat,35/04/06.2005/KTH/023/2005,41,2
24,Bukit Lindung,Desa Samar Kelurahan Pagerwojo Kabupaten Tulungagung,Saring,"Hutan Rakyat, HHBK Bambu",35/04/06.2005/KTH/024/2009,156,2
25,Sumber Lestari,Desa Samar Kelurahan Pagerwojo Kabupaten Tulungagung,Paito,"Hutan Rakyat, Porang, Jahe",35/04/06.2005/KTH/025/2010,45,2
26,Bedok Lestari,Desa Samar Kelurahan Pagerwojo Kabupaten Tulungagung,0,Hutan Rakyat,35/04/06.2005/KTH/026/2012,36,2
27,Wana Bakti,Desa Penjor Kelurahan Pagerwojo Kabupaten Tulungagung,Mujiono,"Hutan Rakyat, HHBK Bambu, Lebah madu",35/04/06.2006/KTH/027/2005,45,2
28,Lebah Madu Wana      Bakti,Desa Penjor Kelurahan Pagerwojo Kabupaten Tulungagung,Paini,"Hutan Rakyat, PLDT, Lebah Madu (Apis Trigona)",35/04/06.2006/KTH/201/2015,15,2
29,Budi Mulya,Desa Pagerwojo Kelurahan Pagerwojo Kabupaten Tulungagung,A. Siunardi,B.Sengon,35/04/06.2007/KTH/028/2003,44,2
30,Budi Mulya 2,Desa Pagerwojo Kelurahan Pagerwojo Kabupaten Tulungagung,Sutoto,B.Sengon,35/04/06.2007/KTH/029/2005,98,2
31,Budi Mulya 3,Desa Pagerwojo Kelurahan Pagerwojo Kabupaten Tulungagung,Supangi,B.Sengon,35/04/06.2007/KTH/030/2015,19,2
32,Budi Mulya 4,Desa Pagerwojo Kelurahan Pagerwojo Kabupaten Tulungagung,Sari,B.Sengon,35/04/06.2007/KTH/031/2015,18,2
33,Budi Mulya 5,Desa Pagerwojo Kelurahan Pagerwojo Kabupaten Tulungagung,Riyadi,B.Sengon,35/04/06.2007/KTH/032/2015,18,2
34,Budi Mulya 6,Desa Pagerwojo Kelurahan Pagerwojo Kabupaten Tulungagung,Yatno,B.Sengon,35/04/06.2007/KTH/033/2015,18,2
35,Wana Bakti Makmur,Desa Kradinan Kelurahan Pagerwojo Kabupaten Tulungagung,Slamet,B.Sengon,35/04/06.2008/KTH/034/2003,36,2
36,Wana Bakti Makmur I,Desa Kradinan Kelurahan Pagerwojo Kabupaten Tulungagung,Aryoto,"B.Sengon, alpukat",35/04/06.2008/KTH/035/2004,51,2
37,Wana Bakti Makmur II,Desa Kradinan Kelurahan Pagerwojo Kabupaten Tulungagung,Warto,"B.Sengon, alpukat",35/04/06.2008/KTH/036/2004,53,2
38,Wana Bakti Makmur III,Desa Kradinan Kelurahan Pagerwojo Kabupaten Tulungagung,Suhud,"B.Sengon, alpukat",35/04/06.2008/KTH/037/2006,73,2
39,Wana Bakti I,Desa Kradinan Kelurahan Pagerwojo Kabupaten Tulungagung,Gunadi,"B.Sengon, jahe merah",35/04/06.2008/KTH/038/2007,101,2
40,Wana Bakti II,Desa Kradinan Kelurahan Pagerwojo Kabupaten Tulungagung,Wateni,B.Sengon,35/04/06.2008/KTH/039/2007,68,2
41,Wana Bakti III,Desa Kradinan Kelurahan Pagerwojo Kabupaten Tulungagung,Misdianto,"B.Sengon, jahe gajah",35/04/06.2008/KTH/040/2007,40,2
42,Wono Tirto,Desa Sidomulyo Kelurahan Pagerwojo Kabupaten Tulungagung,Sunyoto,"B.Sengon, Jabon",35/04/06.2009/KTH/041/2007,65,2
43,Tani Makmur,Desa Sidomulyo Kelurahan Pagerwojo Kabupaten Tulungagung,Agus ,"B.Sengon, Jabon",35/04/06.2009/KTH/042/2004,42,2
44,Wilis Makmur I,Desa Gondanggunung Kelurahan Pagerwojo Kabupaten Tulungagung,Tekad S,B.Sengon,35/04/06.2010/KTH/043/2005,32,2
45,Wilis Makmur II,Desa Gondanggunung Kelurahan Pagerwojo Kabupaten Tulungagung,Jemu,"B.Sengon, Durian, Manggis",35/04/06.2010/KTH/044/2005,52,2
46,Subur Makmur I,Desa Gondanggunung Kelurahan Pagerwojo Kabupaten Tulungagung,Victoria S,"B.Sengon, Durian, Manggis",35/04/06.2010/KTH/045/2007,37,2
47,Subur Makmur II,Desa Gondanggunung Kelurahan Pagerwojo Kabupaten Tulungagung,Suminto,"B.Sengon, Durian, Manggis",35/04/06.2010/KTH/046/2007,35,2
48,Aren Jaya Abadi,Desa Gondanggunung Kelurahan Pagerwojo Kabupaten Tulungagung,Sukardi,"B.Aren, Durian, Manggis",35/04/06.2010/KTH/047/2010,38,2
49,Agro Makmur Lestari,Desa Gondanggunung Kelurahan Pagerwojo Kabupaten Tulungagung,N. Harwanto,"B.Manggis, Durian",35/04/06.2010/KTH/048/2011,67,2
50,Aren Indo Raya,Desa Gambiran Kelurahan Pagerwojo Kabupaten Tulungagung,Nyoto,B.Sengon,35/04/06.2011/KTH/049/2003,20,2
51,Aren Indo Raya I,Desa Gambiran Kelurahan Pagerwojo Kabupaten Tulungagung,Suyani,B.Sengon,35/04/06.2011/KTH/050/2004,23,2
52,Aren Indo Raya II,Desa Gambiran Kelurahan Pagerwojo Kabupaten Tulungagung,Mujianto,B.Sengon,35/04/06.2011/KTH/051/2004,29,2
53,Aren Indo Raya III,Desa Gambiran Kelurahan Pagerwojo Kabupaten Tulungagung,Martopo,B.Sengon,35/04/06.2011/KTH/052/2007,27,2
54,Aren Indo Raya IV,Desa Gambiran Kelurahan Pagerwojo Kabupaten Tulungagung,Yahmin,B.Sengon,35/04/06.2011/KTH/053/2007,21,2
55,Tanggung Lestari,Desa Kedoyo Kelurahan Sendang Kabupaten Tulungagung,Nursalim,"Hutan Rakyat/Agroforestry, Lebah Klanceng, Peternakan",35/04/07.2001/KTH/054/2001,45,2
