no,nama_pbphh,kantor,pabrik,no_izin,direktur,skala,wilayah
1,UD ADI JAYA,RT 13 RW 04 Ds. Bendoagung Kec. Kampak,RT 13 RW 04 Ds. Bendoagung Kec. Kampak,522/020/406.059/2011,0,kecil,1
2,UD ADIYASA,RT 05 RW 02 Ds. Karangrejo Kec. Kampak,RT 05 RW 02 Ds. Karangrejo Kec. Kampak,522/3569/406.059/2011,0,kecil,1
3,UD ANUGERAH ALAM,"Ds. Joho RT.07 RW.04, Kec. Pule","Ds. Joho RT.07 RW.04, Kec. Pule",522/1356/406.059/2010,DIDIK SUSILO,kecil,1
4,UD BAHAGIA MULYA JAYA,"Ds. Tanggaran RT.08 RW.01, Kec. Pule","Ds. Tanggaran RT.08 RW.01, Kec. Pule",522/1335/406.059/2010,SARJONO,kecil,1
5,UD BERSEMI,"Ds. Bangun RT.03 RW.01, Kec. Munjungan","Ds. Bangun RT.03 RW.01, Kec. Munjungan",522/2204/406.059/2010,LAMIRAN,kecil,1
6,UD HARAPAN SEJAHTERA MANDIRI,"Ds. Sumumurup RT.06 RW.02, Kec. Bendungan","Ds. Sumumurup RT.06 RW.02, Kec. Bendungan",522/107/406.059/2011,BUDIANTO,kecil,1
7,UD JAT MA ABADI,"Ds. Wonorejo RT.11 RW.03, Kec. Gandusari","Ds. Wonorejo RT.11 RW.03, Kec. Gandusari",522/493/406.059/2011,SUJILAN,kecil,1
8,UD KELAPA ABADI,"Ds. Bangun RT.09 RW.04, Kec. Munjungan","Ds. Bangun RT.09 RW.04, Kec. Munjungan",522/1352/406.059/2010,PARLAN,kecil,1
9,UD MANDALA RISKY,"Ds. Craken RT.01 RW.01, Kec. Munjungan","Ds. Craken RT.01 RW.01, Kec. Munjungan",522/1357/406.059/2010,H. ASHARUDIN,kecil,1
10,UD PERMATA ALAM,"Ds. Dongko, Kec. Dongko","Ds. Dongko, Kec. Dongko",522.21/754/406.059/2010,DIDIT SASONGKO,kecil,1
11,UD PULUT MAS,"Ds. Karangturi, Kec. Munjungan","Ds. Karangturi, Kec. Munjungan",522.21/750/406.059/2010,TUMINGAN,kecil,1
12,UD REJO SRI LESTARI (RJS),"Ds. Dongko RT.05 RW.01, Kec. Dongko","Ds. Dongko RT.05 RW.01, Kec. Dongko",522/1360/406.059/2010,DASIRAN,kecil,1
13,UD RIMBA ABADI,"Ds. Besuki RT.31 RW.05, Kec. Munjungan","Ds. Besuki RT.31 RW.05, Kec. Munjungan",522/1406/406.059/2010,SADIR,kecil,1
14,UD RONGGO JATI,"Ds. Jajar, Kec. Gandusari","Ds. Jajar, Kec. Gandusari",522/023/406.059/2011,PURNOMO EFENDI,kecil,1
15,UD SABAR NARIMO,"Ds. Bangun RT.35 RW.03, Kec. Munjungan","Ds. Bangun RT.35 RW.03, Kec. Munjungan",522/1354/406.059/2010,WAGIRAN,kecil,1
16,UD SALSABILA,"Ds. Kamulan RT.27 RW.04, Kec. Pogalan","Ds. Kamulan RT.27 RW.04, Kec. Pogalan",522/1853/406.059/2010,FIRMAN HADI,kecil,1
17,UD SIDO MUKTI,"Ds. Sumberingin RT.32 RW.09, Kec. Karangan","Ds. Sumberingin RT.32 RW.09, Kec. Karangan",522/098/406.059/2011,SUMARKAH,kecil,1
18,UD SRI LESTARI,"Ds. Nrayung RT.11 RW.05, Kec. Gandusari","Ds. Nrayung RT.11 RW.05, Kec. Gandusari",522/1351/406.059/2010,SUNARYO,kecil,1
19,UD TRI JAYA MULYA,"Ds. Slawe, Kec. Watulimo","Ds. Slawe, Kec. Watulimo",522/024/406.059/2011,SUPARMAN,kecil,1
