no,nama,skema,khdpk,no_sk,alamat,jumlah_kk,luas,ketua,wilayah
1,KTH LANCAR JAYA,Hkm,Tranformasi,SK. MENLK.11666/2024,Desa Ngancar Kecamatan Ngancar,1489,502,KASIMAN,3
2,KTH PETANI HUTAN SEJAHTERA,Hkm,Tranformasi,SK. MENLHK.11647/2024,Desa  Pandantoyo Kecamatan Ngancar,566,82.4,ABAS SARONI,3
3,LMDH RIMBA LESTARI,Hkm,Proses Tranformasi,SK.1840/MENLHKPSKL/PKPS/PSL.0/3/2021,Desa  Puncu Kecamatan Puncu,500,1805.78,SUMIRAN,3
4, PMDH MITRA TANI SEJAHTERA,KULIN KK,Proses Tranformasi,SK.1958/MENLHKPSKL/PKPS/PSL.0/3/2021,Desa Sempu Kecamatan  Ngancar,1239,274.6,SUPARJI,3
5,KTH LINGKUNGAN HIDUP SEJAHTERA,Hkm,Tranformasi,SK. MENLHK. 11656/2024,Desa  Manggis Kecamatan  Ngancar,390,109,SUYOTO,3
6,LMDH ALAM RIMBA LESTARI,KULIN KK,0,SK. 8839/MENLHK-PSKL/PKPS/PSL.0/12/2018,Desa Babadan Kecamatan Ngancar,1319,160,KANUPI,3
7,KTH ARGO MAKMUR LESTARI ,Hkm,Tranformasi,SK.5255/MENLHK-PSKL/PKPS/PSL.0/5/2023,Desa Besole Kecamatan Besuki,714,845,MUKALAN,2
8,KTH WONO RUKUN SEJATI,Hkm,Tranformasi,SK.5256/MENLHK-PSKL/PKPS/PSL.0/5/2023,Desa Kalidawe Kecamatan Pucanglaban,301,223,ENDRI GUNAWAN,2
9,LMDH SUMBER LESTARI,KULIN KK,Proses Tranformasi,SK.5679/MENLHK-PSKL/PKPS/PSL.0/100/2017,Desa Samar Kecamatan Pagerwojo,928,663.5,SUNGKONO,2
10,GAPOKTANHUT WONODADI LESTARI,Hkm,Tranformasi,SK.5656/MENLHK-PSKL/PKPS/PSL.0/6/2023,Desa Tenggarejo Kecamatan Tanggunungunung,454,632,SUGIANTO,2
11,LMDH SIMBARWANGI JAYA,KULIN KK,0,SK. 8836/MENLHK-PSKL/PKPS/PSL.0/12/2018,Desa Botoputih Kecamatan Bendungan,1022,2146,SLAMET,1
12,LMDH MARGO MULYO,KULIN KK,0,SK. 7330/MENLHK-PSKL/PKPS/PSL.0/10/2018,Desa Ngadimulyo Kecamatan Kampak,753,1560,EDI SAPTONO,1
13,LMDH SUMBER LESTARI,KULIN KK,Proses Tranformasi,SK.1989/MENLHKPSKL/PKPS/PSL.0/3/2021,Desa Prigi Kecamatan Watulimo,848,389.22,SUKADJI,1
14,KTH TANI SENTOSA,Hkm,Tranformasi,SK.MENLHK.11614/2024,Desa Ngulong Kulon Kecamatan Munjungan,767,449,SUMARI,1
15,PLMDH SIDO RUKUN NGUDI RAHAYU,KULIN KK,Proses Tranformasi,SK.1942/MENLHKPSKL/PKPS/PSL.0/3/2021,Desa Sengon Kecamatan Bendungan,434,340.97,JANURI,1
16,PLMDH WONO AGUNG LESTARI,KULIN KK,0,SK.1966/MENLHKPSKL/PKPS/PSL.0/4/2021,Desa Ngelebeng Kecamatan Panggul,1660,1408.19,GURITNO,1
17,KTH RIMBUN SUMBER URIP,Hkm,Tranformasi,SK.MENLHK.11612/2024,Desa Gemblep Kecamatan  Pogalan,117,236,SUNARTO,1
18,PLMDH BUKIT LESTARI DAWUHAN,KULIN KK,Proses Tranformasi,SK.1951/MENLHKPSKL/PKPS/PSL.0/3/2021,Desa Dawuhan Kecamatan  Trenggalek,754,429.09,SAPANGAT,1
19,PLMDH WONO BANGKIT,KULIN KK,0,SK.1948/MENLHKPSKL/PKPS/PSL.0/3/2021,Desa Ngulungwetan Kecamatan  Pogalan,440,349.42,MULYONO,1
20,GAPOKTANHUT RIMBA MADU SEJAHTERA,Hkm,Tranformasi,SK.MENLHK.2/2025,Desa Tasikmadu Kecamatan Watulimo,3214,2111,WIGNYO HANDOYO,1
21,PLMDH TLOGO ASRI,KULIN KK,0,SK.1985/MENLHKPSKL/PKPS/PSL.0/3/2021,Desa Bendoroto Kecamatan Munjungan,1189,2992.85,SADEMO,1
22,PLMDH RIMBA MAKMUR,KULIN KK,0,SK.1947/MENLHKPSKL/PKPS/PSL.0/3/2021,Desa Tawing Kecamatan Munjungan,1302,799.92,RADI,1
23,LMDH RIMBA SEJAHTERA,KULIN KK,0,SK.1970/MENLHKPSKL/PKPS/PSL.0/4/2021,Desa Munjungan Kecamatan Munjungan,493,385.59,GUNAWAN,1
24,KTH SIDO RUKUN,Hkm,Tranformasi,SK. MENLHK.11659/2024,Desa Wonocoyo Kecamatan Panggul,785,558,SUKARWO,1
25, LMDH ARGO LESTARI,KULIN KK,0,SK.1988/MENLHKPSKL/PKPS/PSL.0/3/2021,Desa Karanggandu Kecamatan Watulimo,1904,4464.03,H. LAMIDI,1
26,LMDH WONO ASRI,KULIN KK,0,SK.1955/MENLHKPSKL/PKPS/PSL.0/3/2021,Desa Kandalrejo Kecamatan Durenan,72,115.4,MUYAJID,1
